instrument,direction,entry_date,entry,exit_date,exit,notional_frac,pnl_frac,R,hold_days,exit_reason,cost_frac
AUDUSD=X,SHORT,2023-10-13,0.6316800117492676,2023-10-24,0.6336702108383179,0.5276291524236983,-0.0019356465507604432,-0.6145487279318514,11,signal_flip,0.00027327471853784907
USDJPY=X,LONG,2023-10-23,149.8800048828125,2023-12-04,146.39300537109375,0.8516466019553631,-0.020275854810875304,-6.437384333859435,42,resize,0.0004620625208549249
AUDUSD=X,LONG,2023-10-24,0.6336702108383179,2023-10-25,0.6360999345779419,0.5852100436703201,0.0020153141540593038,0.6398424078371315,1,signal_flip,0.00022859555078708755
AUDUSD=X,SHORT,2023-10-25,0.6360999345779419,2023-11-20,0.6513597369194031,0.601347975422328,-0.01475756461402755,-4.685381511082056,26,resize,0.0003314489291214903
AUDUSD=X,SHORT,2023-11-20,0.6513597369194031,2023-12-22,0.6796802878379822,0.4872417388547085,-0.021467305779416045,-6.815658289309736,32,signal_flip,0.00028246168672809916
EURUSD=X,LONG,2023-11-20,1.090702772140503,2024-01-22,1.089229702949524,0.680352777730799,-0.0015213383736229285,-0.48300995959028825,63,signal_flip,0.0006024751035631918
GBPUSD=X,LONG,2023-11-20,1.2454540729522705,2024-02-12,1.2637271881103516,0.6332048905342663,0.008607562165926879,2.732816266268521,84,resize,0.0006827249146438754
USDJPY=X,LONG,2023-12-04,146.39300537109375,2023-12-18,142.31300354003906,0.6845609728334924,-0.01920966973944771,-6.098881067791389,14,resize,0.00013082088632675588
USDJPY=X,LONG,2023-12-18,142.31300354003906,2024-03-18,148.9550018310547,0.5411709411397543,0.024628533540631808,7.819316988566982,91,resize,0.0006288665337491457
AUDUSD=X,LONG,2023-12-22,0.6796802878379822,2023-12-25,0.6808788776397705,0.4579117232587635,0.0006286525046386288,0.1995909826022029,3,signal_flip,0.00017885704277392412
AUDUSD=X,SHORT,2023-12-25,0.6808788776397705,2023-12-26,0.6806008219718933,0.4718893643267694,2.0395605784909713e-05,0.006475404089445771,1,signal_flip,0.00017231343053718162
AUDUSD=X,LONG,2023-12-26,0.6806008219718933,2023-12-27,0.6823800802230835,0.48048320427638264,0.001080836258036777,0.34315487360963387,1,signal_flip,0.00017526523077738337
AUDUSD=X,SHORT,2023-12-27,0.6823800802230835,2024-02-12,0.6525583267211914,0.48066668434565035,0.02061510762007214,6.54509376162522,47,resize,0.00039125495200290246
EURUSD=X,SHORT,2024-01-22,1.089229702949524,2024-01-24,1.0857881307601929,0.7022758596376809,0.002072088764427917,0.6578677878152843,2,signal_flip,0.00014684913381597065
EURUSD=X,LONG,2024-01-24,1.0857881307601929,2024-02-12,1.0798202753067017,0.7041363274766531,-0.00411333740945161,-1.3059441412689148,19,resize,0.00024316817211542728
AUDUSD=X,SHORT,2024-02-12,0.6525583267211914,2024-05-10,0.6620998978614807,0.6008636823816332,-0.009560779368938274,-3.0354533460201276,88,signal_flip,0.0007750764879908967
EURUSD=X,LONG,2024-02-12,1.0798202753067017,2024-03-11,1.0942955017089844,0.8095648796601066,0.010551435750717058,3.349976996528814,28,resize,0.00030095810444402205
GBPUSD=X,LONG,2024-02-12,1.2637271881103516,2024-03-11,1.2855123281478882,0.739390384072201,0.012465778395165385,3.957761943893936,28,resize,0.0002804244332368407
EURUSD=X,LONG,2024-03-11,1.0942955017089844,2024-03-19,1.087393879890442,0.9777631197432796,-0.006355130011077174,-2.017691227055203,8,signal_flip,0.00018846728602009113
GBPUSD=X,LONG,2024-03-11,1.2855123281478882,2024-04-15,1.2461835145950317,0.9072956299519268,-0.028266984879301942,-8.97448947651073,35,signal_flip,0.0005092886780441474
USDJPY=X,LONG,2024-03-18,148.9550018310547,2024-05-20,155.75399780273438,0.6665650158819545,0.029888392002509735,9.489270279150308,63,resize,0.0005367216367368311
EURUSD=X,SHORT,2024-03-19,1.087393879890442,2024-03-20,1.0863306522369385,1.0,0.0007811611972016826,0.24801099139789642,1,signal_flip,0.00019661481677639965
EURUSD=X,LONG,2024-03-20,1.0863306522369385,2024-03-22,1.0862362384796143,1.0,-0.0002962223407634972,-0.09404767757299735,2,signal_flip,0.0002093116408492084
EURUSD=X,SHORT,2024-03-22,1.0862362384796143,2024-04-22,1.065825343132019,0.9660486319399515,0.01767658843490168,5.612142843214836,31,resize,0.0004759246453217126
GBPUSD=X,SHORT,2024-04-15,1.2461835145950317,2024-04-30,1.2559815645217896,0.8231967466239286,-0.006825308386753687,-2.1669682335208456,15,signal_flip,0.0003529688568996842
EURUSD=X,SHORT,2024-04-22,1.065825343132019,2024-05-10,1.078515887260437,0.8628116553342277,-0.010548972719031735,-3.3491950082115376,18,signal_flip,0.0002756671937979248
GBPUSD=X,LONG,2024-04-30,1.2559815645217896,2024-06-05,1.2773023843765259,0.8631145731510053,0.014055823706385081,4.46258567991133,36,signal_flip,0.0005959123126517338
AUDUSD=X,LONG,2024-05-10,0.6620998978614807,2024-05-24,0.6601487994194031,0.5640100798788839,-0.0019662722896628677,-0.6242720985942608,14,signal_flip,0.0003042282511090406
EURUSD=X,LONG,2024-05-10,1.078515887260437,2024-06-04,1.0907385349273682,0.9285393281630484,0.01005930137840408,3.1937291772367726,25,signal_flip,0.0004636859851425094
USDJPY=X,LONG,2024-05-20,155.75399780273438,2024-08-05,145.58399963378906,0.5473811637790623,-0.03631001504956821,-11.528072390660414,77,signal_flip,0.0005686182836324478
AUDUSD=X,SHORT,2024-05-24,0.6601487994194031,2024-06-17,0.6612882018089294,0.545175145998831,-0.0013038359198457856,-0.4139550713214113,24,signal_flip,0.0003628755415071936
EURUSD=X,SHORT,2024-06-04,1.0907385349273682,2024-07-29,1.0853756666183472,0.8891605109972066,0.0036639017957219924,1.1632527575572043,55,resize,0.0007078615310201167
GBPUSD=X,SHORT,2024-06-05,1.2773023843765259,2024-06-06,1.2794759273529053,0.8009718408627305,-0.0015610428917661164,-0.4956157533021915,1,flat,0.00019805575553317057
GBPUSD=X,LONG,2024-06-07,1.2793285846710205,2024-06-10,1.2729448080062866,0.8091846769478084,-0.004258597680566483,-1.3520628475986476,3,signal_flip,0.00022081229840995416
