event_date,release_name,importance,symbol,horizon,session_date,session_weekday,metric,value
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-05,Monday,ret,0.016124303723248135
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-05,Monday,abs_ret,0.016124303723248135
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-05,Monday,range_pct,0.033567868660217035
2024-02-01,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-05,Monday,realized_vol,0.022800669755260964
2024-02-02,Employment Situation,1.0,NVDA,0,2024-02-02,Friday,ret,0.034078474284821025
2024-02-02,Employment Situation,1.0,NVDA,0,2024-02-02,Friday,abs_ret,0.034078474284821025
2024-02-02,Employment Situation,1.0,NVDA,0,2024-02-02,Friday,range_pct,0.04549007347193992
2024-02-02,Employment Situation,1.0,NVDA,0,2024-02-02,Friday,realized_vol,0.016223875762966373
2024-02-02,Employment Situation,1.0,NVDA,1,2024-02-05,Monday,ret,0.016124303723248135
2024-02-02,Employment Situation,1.0,NVDA,1,2024-02-05,Monday,abs_ret,0.016124303723248135
2024-02-02,Employment Situation,1.0,NVDA,1,2024-02-05,Monday,range_pct,0.033567868660217035
2024-02-02,Employment Situation,1.0,NVDA,1,2024-02-05,Monday,realized_vol,0.022800669755260964
2024-02-02,Employment Situation,1.0,NVDA,2,2024-02-06,Tuesday,ret,-0.020249892287806937
2024-02-02,Employment Situation,1.0,NVDA,2,2024-02-06,Tuesday,abs_ret,0.020249892287806937
2024-02-02,Employment Situation,1.0,NVDA,2,2024-02-06,Tuesday,range_pct,0.049547608789314995
2024-02-02,Employment Situation,1.0,NVDA,2,2024-02-06,Tuesday,realized_vol,0.023904340177238168
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-08,Thursday,ret,-0.006136720422434627
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-08,Thursday,abs_ret,0.006136720422434627
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-08,Thursday,range_pct,0.01898101898101916
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,0,2024-02-08,Thursday,realized_vol,0.016566808156110696
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-09,Friday,ret,0.022975464473124152
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-09,Friday,abs_ret,0.022975464473124152
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-09,Friday,range_pct,0.02808112324492985
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,1,2024-02-09,Friday,realized_vol,0.011198825528856213
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-12,Monday,ret,-0.004132800661248104
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-12,Monday,abs_ret,0.004132800661248104
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-12,Monday,range_pct,0.046287367405978774
2024-02-08,Unemployment Insurance Weekly Claims Report,0.3,NVDA,2,2024-02-12,Monday,realized_vol,0.02655843204924751
2024-02-09,Consumer Price Index,1.0,NVDA,0,2024-02-09,Friday,ret,0.022975464473124152
2024-02-09,Consumer Price Index,1.0,NVDA,0,2024-02-09,Friday,abs_ret,0.022975464473124152
2024-02-09,Consumer Price Index,1.0,NVDA,0,2024-02-09,Friday,range_pct,0.02808112324492985
